NDB_No,Seq,Amount,Msre_Desc,Gm_Wgt,Num_Data_Pts,Std_Dev
01092,1,1,cup,68,nan,nan
01092,2,1,envelope (1-1/3 cup),91,nan,nan
01092,3,0.33,cup (makes 1 cup reconstituted milk),23,nan,nan
01093,1,1,oz,28.35,nan,nan
01093,2,0.25,lb,113,nan,nan
01094,1,0.25,cup,30,nan,nan
01094,2,1,cup,120,nan,nan
01094,3,1,tbsp,6.50,nan,nan
01095,1,1,fl oz,38.20,nan,nan
01095,2,1,cup,306,nan,nan
01096,1,1,fl oz,31.50,nan,nan
01096,2,1,cup,252,nan,nan
01096,3,1,can (13 oz),369,nan,nan
01096,4,0.50,cup,126,nan,nan
01097,1,1,fl oz,31.90,nan,nan
01097,2,1,cup,256,nan,nan
01097,3,0.50,cup,128,nan,nan
01102,1,1,cup,250,nan,nan
01102,2,1,fl oz,31.20,nan,nan
01102,3,1,quart,1000,nan,nan
01103,1,1,cup,250,nan,nan
01103,2,1,fl oz,31.20,nan,nan
01103,3,1,quart,1000,nan,nan
01104,1,1,cup,250,nan,nan
01104,2,1,quart,1000,nan,nan
01105,1,1,cup,250,nan,nan
01105,2,1,fl oz,31.20,nan,nan
01106,1,1,fl oz,30.50,nan,nan
01106,2,1,cup,244,nan,nan
01106,3,1,quart,976,nan,nan
01107,1,1,fl oz,30.80,nan,nan
01107,2,1,cup,246,nan,nan
01108,1,1,cup,244,nan,nan
01108,2,1,quart,976,nan,nan
01109,1,1,cup,245,nan,nan
01109,2,1,quart,980,nan,nan
01110,1,1,fl oz,28.40,nan,nan
01110,2,1,container (10.6 oz),300,nan,nan
01111,1,1,fl oz,28.40,nan,nan
01111,2,1,container (11 oz),313,nan,nan
01112,1,1,cup,246,nan,nan
01112,2,1,quart,984,nan,nan
01113,1,1,cup,57,nan,nan
01113,2,1,tbsp,2.90,nan,nan
01114,1,1,cup,246,nan,nan
01114,2,1,quart,984,nan,nan
01115,1,1,cup,145,nan,nan
01115,2,1,tbsp,7.50,nan,nan
01116,1,1,container (6 oz),170,nan,nan
01116,2,1,container (8 oz),227,nan,nan
01116,3,0.50,container (4 oz),113,nan,nan
01116,4,1,cup (8 fl oz),245,nan,nan
01117,1,1,container (6 oz),170,nan,nan
01117,2,1,container (8 oz),227,nan,nan
01117,3,0.50,container (4 oz),113,nan,nan
01117,4,1,cup (8 fl oz),245,nan,nan
01118,1,1,container (6 oz),170,nan,nan
01118,2,1,container (8 oz),227,nan,nan
01118,3,1,cup (8 fl oz),245,nan,nan
01119,1,1,container (6 oz),170,nan,nan
01119,2,1,container (8 oz),227,nan,nan
01119,3,1,cup (8 fl oz),245,nan,nan
01120,1,1,container (6 oz),170,nan,nan
01120,2,1,container (4.4 oz),125,nan,nan
01120,3,1,container (5 oz),142,nan,nan
01120,4,1,cup (8 fl oz),245,nan,nan
01120,5,1,container (8 oz),227,nan,nan
01120,6,0.50,container (4 oz),113,nan,nan
01121,1,1,container (6 oz),170,nan,nan
01121,2,1,cup (8 fl oz),245,nan,nan
01121,3,1,container (8 oz),227,nan,nan
01121,5,1,"container, Dannon Sprinkl'ins (4.1 oz)",116,nan,nan
01121,6,0.50,container (4 oz),113,nan,nan
01122,1,1,container (6 oz),170,nan,nan
01122,2,0.50,container (4 oz),113,nan,nan
01122,3,1,container (8 oz),227,nan,nan
01123,1,1,large,50,nan,nan
01123,2,1,extra large,56,nan,nan
01123,3,1,jumbo,63,nan,nan
01123,5,1,cup (4.86 large eggs),243,nan,nan
01123,6,1,medium,44,nan,nan
01123,7,1,small,38,nan,nan
01124,1,1,large,33,nan,nan
01124,2,1,cup,243,nan,nan
01125,1,1,large,17,nan,nan
01125,2,1,cup,243,nan,nan
01126,1,1,oz,28.35,nan,nan
01126,2,0.50,lb,227,nan,nan
01127,1,1,oz,28.35,nan,nan
01127,2,0.50,lb,227,nan,nan
01128,1,1,large,46,nan,nan
01129,1,1,"cup, chopped",136,nan,nan
01129,2,1,tbsp,8.50,nan,nan
01129,3,1,large,50,nan,nan
01130,1,1,tbsp,15,nan,nan
01130,2,1,large,61,nan,nan
01131,1,1,large,50,nan,nan
01132,1,1,large,61,nan,nan
01132,2,1,tbsp,13.70,nan,nan
01132,3,1,cup,220,nan,nan
01133,1,1,"cup, sifted",85,nan,nan
01133,2,1,tbsp,5,nan,nan
01134,1,1,"cup, sifted",85,nan,nan
01134,2,1,tbsp,5,nan,nan
01135,1,1,oz,28.35,nan,nan
01135,2,0.50,lb,227,nan,nan
01136,1,1,"cup, sifted",107,nan,nan
01136,2,1,tbsp,7,nan,nan
01137,1,1,"cup, sifted",67,nan,nan
01137,2,1,tbsp,4,nan,nan
01138,1,1,egg,70,nan,nan
01139,1,1,egg,144,nan,nan
01140,1,1,egg,9,nan,nan
01141,1,1,egg,79,nan,nan
01144,1,0.35,oz,9.90,nan,nan
01144,2,0.70,oz,20,nan,nan
01145,1,1,"pat (1"" sq, 1/3"" high)",5,nan,nan
01145,2,1,tbsp,14.20,nan,nan
01145,3,1,cup,227,nan,nan
01145,4,1,stick,113,nan,nan
01146,1,1,tbsp,5,nan,nan
01151,1,1,cup,245,nan,nan
01151,2,1,quart,980,nan,nan
01152,1,1,cup,245,nan,nan
01152,2,1,quart,980,nan,nan
01153,1,1,fl oz,31.50,nan,nan
01153,2,0.50,cup,126,nan,nan
